frame_id,x1,y1,x2,y2,bbox_id,confidence,lm_x1,lm_y1,lm_x2,lm_y2,lm_x3,lm_y3,lm_x4,lm_y4,lm_x5,lm_y5,yaw,pitch,roll
0,1008.81836,431.35147,1174.99036,646.06891,1.0,0.9997,1058.58301,531.98499,1118.7085,532.62036,1085.34888,562.16418,1066.20312,588.06403,1109.15149,589.1402,9.11539,-14.54868,-2.93548
1,994.78653,428.65544,1160.31961,642.3686,1.0,0.99963,1043.69958,530.68036,1103.56958,530.48535,1070.21448,559.46466,1051.54993,584.45007,1095.82434,584.97375,10.52963,-15.54333,-3.03254
2,981.04699,422.5933,1148.10538,638.7038,1.0,0.99968,1030.73499,526.69135,1090.76904,524.74243,1059.61731,553.07562,1039.87891,580.8255,1085.05737,580.07941,9.70715,-17.39887,-4.16746
3,972.05835,418.03453,1139.91784,634.55363,1.0,0.99972,1025.2854,512.96411,1085.69104,513.8833,1053.23975,539.66986,1031.84119,572.51276,1077.35083,573.94928,15.92672,-21.02536,-6.19614
4,966.66564,408.68097,1134.3887,625.68653,1.0,0.99954,1024.90149,505.69278,1079.31262,505.57852,1051.4668,533.43561,1030.99463,562.03632,1073.68494,562.37463,17.02643,-23.92783,-6.37571
5,964.32738,398.96021,1132.20298,617.15774,1.0,0.99965,1020.79901,494.36288,1079.84888,494.55145,1049.70862,526.02808,1026.96423,553.10925,1073.4668,553.836,14.4938,-21.40504,-6.9297
6,960.50891,386.21055,1131.27899,608.5496,1.0,0.99949,1016.5036,486.06946,1073.98779,485.47311,1044.6416,519.25513,1025.08948,543.3833,1069.8689,543.05383,14.6308,-28.11787,-3.98579
7,955.59065,369.50137,1128.59439,595.7818,1.0,0.99953,1013.71527,467.05545,1070.87854,467.65695,1041.5271,504.19193,1018.55188,526.37811,1065.20435,526.69305,17.12346,-33.71076,-4.94766
8,950.75424,350.86442,1127.00243,581.76175,1.0,0.99944,1012.17725,450.67511,1068.71973,451.43713,1040.38574,485.74619,1016.65765,508.56592,1065.58276,509.27112,14.90077,-28.71103,-6.9308
9,948.69903,334.34776,1127.09284,567.15236,1.0,0.99931,1010.06482,439.04358,1068.15784,439.21078,1038.56677,473.34525,1016.92419,497.07321,1064.39392,497.41415,15.87902,-24.98431,-8.63365
10,947.59185,319.91654,1127.45353,554.09023,1.0,0.99939,1011.0332,427.14313,1072.54504,426.11069,1042.76917,465.36523,1017.33069,487.10437,1068.17712,486.06516,11.13663,-22.96456,-10.89904
11,948.94298,308.72385,1130.99889,548.28739,1.0,0.99913,1013.46729,419.5744,1075.20435,417.17477,1045.64453,456.30719,1020.76447,483.45175,1071.83984,481.26544,8.23637,-15.95713,-8.14374
12,948.91025,305.10125,1133.3063,549.13992,1.0,0.99876,1014.20789,419.98285,1076.5033,417.47577,1046.03064,458.68423,1020.87854,485.72888,1071.18896,483.85663,6.97552,-12.65729,-6.47342
13,949.04493,303.52347,1135.70999,551.77389,1.0,0.99884,1014.25745,420.36496,1078.99561,419.57193,1047.15222,463.03937,1018.64069,486.82791,1074.11597,486.21231,7.32132,-12.42142,-4.3495
14,950.08461,302.55602,1138.51583,553.91903,1.0,0.99848,1015.93823,423.14285,1080.22974,422.7197,1049.27222,464.75119,1021.75464,488.75696,1077.48132,488.46887,5.39505,-13.65838,-3.79634
15,948.97463,301.14363,1138.7049,556.32175,1.0,0.99831,1015.38367,423.95316,1080.48083,424.40033,1049.86597,466.59192,1018.24896,490.25217,1076.07935,490.33041,4.17002,-13.46543,-3.25517
16,946.02446,299.22137,1137.62511,556.61584,1.0,0.99839,1011.22974,422.75616,1077.42297,420.3674,1046.30359,467.64496,1017.95575,489.85599,1073.46338,487.83835,3.03546,-11.87864,-2.32623
17,944.53535,293.68706,1136.17271,551.03758,1.0,0.99875,1011.22614,412.79187,1078.00952,412.24686,1046.26306,455.48755,1018.37061,481.66553,1070.80176,481.04388,6.79706,-12.69178,-1.04895
18,943.62299,282.3628,1136.57076,541.1071,1.0,0.99781,1009.88824,398.02155,1078.64636,395.86691,1047.20471,441.11435,1017.67719,468.71231,1071.92517,467.04816,5.23022,-12.33675,-0.07304
19,943.96555,273.26402,1137.1246,533.15886,1.0,0.99775,1013.15997,390.07977,1081.7771,392.78558,1048.13513,434.8475,1020.63037,461.79898,1071.97827,464.73642,2.70256,-11.08273,0.41599
20,943.01931,263.03862,1136.25428,521.85565,1.0,0.99882,1010.87128,384.15244,1074.91541,385.29263,1044.47009,424.78549,1016.53436,451.04761,1066.6123,451.89471,7.66907,-10.93633,3.94897
21,937.47946,252.66802,1131.13199,510.6137,1.0,0.99807,1010.0282,371.04327,1068.49512,372.8429,1039.68494,408.28815,1011.89624,435.93689,1059.33984,438.1586,10.87787,-13.9586,2.25758
22,924.98005,243.1996,1118.45015,500.91218,1.0,0.99862,998.50659,364.86447,1058.15198,369.47055,1031.70276,401.25,1000.37134,428.16666,1048.4679,432.6008,7.82453,-13.08711,3.48885
23,920.09919,235.27557,1114.50115,490.02059,1.0,0.99617,994.42761,347.36624,1053.16187,346.60242,1026.62964,375.66904,998.2757,407.63251,1045.3584,407.7059,3.76337,-11.38413,-5.63742
26,926.694,102.95534,1122.89422,396.82149,3.0,0.9709,993.28076,212.98862,1055.19177,216.65503,1016.04138,251.9826,1011.51099,306.25983,1058.07861,309.10654,19.51402,-26.561,1.12195
27,932.94095,73.61034,1115.50532,333.08418,3.0,0.91083,1023.40155,191.08209,1076.20325,190.78136,1060.35242,226.28394,1026.94995,254.48439,1070.00378,254.62692,14.13335,-34.43467,3.01953
28,928.58333,50.80586,1106.88892,296.80667,3.0,0.99912,1000.45404,164.58089,1060.8031,164.34966,1038.5459,194.41896,1007.12427,229.41252,1056.23657,229.86073,-0.38647,-2.80388,-2.81699
29,922.99797,55.04581,1099.30176,292.49518,3.0,0.99877,998.35181,169.5242,1054.81921,168.07047,1036.98328,201.1806,1004.92834,233.32462,1052.3363,232.16702,-1.43057,-6.29633,0.1145
30,915.81727,82.81206,1092.54211,317.2745,3.0,0.99643,988.00757,196.3409,1043.32129,198.91472,1020.11316,226.93736,988.82312,256.37732,1036.24976,259.3335,-4.87943,-14.77282,-2.65441
31,907.26855,119.91767,1082.29817,350.65444,3.0,0.99582,973.55151,229.1109,1030.16309,232.65479,1003.31702,257.31125,975.13849,291.66739,1020.75403,294.83603,-5.33589,-19.28981,-1.38203
32,901.88168,153.40864,1075.10675,378.54468,3.0,0.99831,973.84552,259.50629,1025.10852,264.06976,1001.9895,291.89703,970.4812,316.55212,1015.9361,320.76163,-3.2139,-8.4155,2.82282
33,897.54224,181.01324,1069.15732,399.7264,3.0,0.99843,975.19684,278.93622,1024.93384,287.4527,1000.73682,312.42856,965.07831,335.31989,1011.68665,342.56454,-10.51308,-13.86317,4.91072
34,889.66665,207.44982,1060.49601,423.55814,3.0,0.99839,957.35718,307.81461,1013.21924,308.69812,990.02484,338.45404,962.70459,364.72519,1006.24316,365.71637,-8.60868,-13.6971,1.75462
35,887.10053,238.48514,1055.69442,452.58906,3.0,0.9984,953.30347,342.6499,1005.93774,343.50034,983.63629,374.14966,959.83466,398.0239,1001.85504,398.51547,-5.12228,-8.18872,2.33425
36,886.14847,264.97361,1053.67143,479.15001,3.0,0.99888,951.6355,364.21375,1006.02972,365.36472,981.24323,398.29874,955.44739,422.44699,999.06476,423.57297,-8.00372,-18.62452,3.41441
37,883.51998,285.32874,1051.22675,498.1103,3.0,0.99951,949.68134,379.37027,1003.27307,381.03412,980.88055,413.02734,953.92352,435.62537,998.11981,436.74768,-3.26648,-8.93268,2.81055
38,882.76536,297.58221,1050.66977,510.96406,3.0,0.99962,951.29626,389.82401,1002.95129,393.16885,978.82428,422.85971,953.47705,446.28043,994.96582,449.07474,-2.4693,-11.14715,3.81333
39,884.47823,307.90036,1051.78928,520.3445,3.0,0.99965,949.83893,397.90289,1005.61145,401.98108,979.00415,430.96027,953.6394,455.3262,996.73499,458.65637,-5.61931,-11.72854,7.26395
40,886.74842,316.81808,1054.05614,529.48681,3.0,0.99937,952.17725,404.83377,1012.22052,410.18863,984.58636,435.62735,956.55115,465.50287,999.76227,469.73428,-3.51323,-10.03732,5.61221
41,888.07133,325.94349,1056.1582,538.99556,3.0,0.99953,953.04474,413.1705,1013.34698,417.47949,985.56244,442.01358,957.11359,473.0076,1001.6936,476.92029,-5.94071,-9.78561,6.73648
42,889.22657,334.77008,1057.41877,548.76278,3.0,0.99947,952.51886,424.8891,1014.09967,429.97717,985.00281,454.8233,955.88745,485.10672,999.91882,489.46506,-7.33447,-11.26642,7.67928
43,889.23839,345.99176,1057.40543,559.97729,3.0,0.9994,955.60181,435.73291,1013.72827,443.39423,984.84857,468.68155,958.20947,496.18274,999.10858,502.13751,-8.00629,-12.45057,7.37512
44,887.92039,355.53536,1054.9976,569.92351,3.0,0.99965,953.91254,442.96722,1011.61609,449.16693,985.17175,473.44806,953.90802,504.9581,998.69452,510.60876,-6.92616,-9.48733,4.77834
45,885.53665,362.33646,1051.56428,576.03127,3.0,0.99973,949.67432,450.06619,1005.74408,454.57358,979.80963,478.07254,952.13916,510.3392,995.70752,514.62518,-6.74213,-5.98812,4.64307
46,881.72206,365.82518,1047.023,580.18358,3.0,0.99979,944.17694,457.17511,1003.85284,461.31802,977.30005,486.95544,945.99982,517.02295,992.88049,520.7774,-8.15283,-6.04315,4.9957
47,878.73853,366.78421,1043.06672,580.77402,3.0,0.99978,940.76019,456.46445,999.9931,460.85849,973.3255,487.66302,942.76862,516.93414,989.74615,520.67328,-8.43159,-4.43027,4.37697
48,875.44302,365.69823,1038.94361,578.87785,3.0,0.99975,937.11682,453.49124,995.99438,455.93314,971.05762,481.52933,941.23615,513.83899,988.00464,516.00903,-9.93984,-4.86802,3.34729
